text,course_content,teaching_quality,assessment,resources,infrastructure,clean_text,detected_course_content,detected_teaching_quality,detected_assessment,detected_resources,detected_infrastructure
Online study materials provided are very helpful.,none,none,none,positive,none,online study material provided helpful,False,False,False,True,False
Reference materials and e-resources are well organized.,none,none,none,positive,none,reference material eresources well organized,False,False,False,True,False
The college provides access to great research databases.,none,none,none,positive,none,college provides access great research database,False,False,False,True,False
Study materials and handouts are very comprehensive.,none,none,none,positive,none,study material handout comprehensive,False,False,False,True,False
Library lacks important textbooks and reference material.,none,none,none,negative,none,library lack important textbook reference material,False,False,False,True,False
Online resources are outdated and poorly maintained.,none,none,none,negative,none,online resource outdated poorly maintained,False,False,False,True,False
No proper study material is provided by teachers.,none,none,none,negative,none,proper study material provided teacher,False,True,False,True,False
The college does not have sufficient books or journals.,none,none,none,negative,none,college sufficient book journal,False,False,False,True,False
Digital resources are inaccessible and poorly organized.,none,none,none,negative,none,digital resource inaccessible poorly organized,False,False,False,True,False
The classrooms are spacious and well equipped with projectors.,none,none,none,none,positive,classroom spacious well equipped projector,False,True,True,False,True
Labs have modern computers and fast internet connection.,none,none,none,none,positive,lab modern computer fast internet connection,False,False,False,False,True
The campus infrastructure is excellent and well maintained.,none,none,none,none,positive,campus infrastructure excellent well maintained,False,False,False,False,True
Facilities like wifi and smart boards are very good.,none,none,none,none,positive,facility like wifi smart board good,False,False,False,False,True
The computer lab is well maintained with latest software.,none,none,none,none,positive,computer lab well maintained latest software,False,False,True,False,True
Lab equipment is old and breaks down frequently.,none,none,none,none,negative,lab equipment old break frequently,False,False,False,False,True
Classrooms are too small and overcrowded.,none,none,none,none,negative,classroom small overcrowded,False,True,False,False,True
Internet connection in campus is very slow and unreliable.,none,none,none,none,negative,internet connection campus slow unreliable,False,False,False,False,True
The infrastructure is poorly maintained and outdated.,none,none,none,none,negative,infrastructure poorly maintained outdated,False,False,False,False,True
Computer lab has outdated machines that crash often.,none,none,none,none,negative,computer lab outdated machine crash often,False,False,False,False,True
Great course content but the exams are too tough.,positive,none,negative,none,none,great course content exam tough,True,False,True,False,False
Teaching is excellent but lab equipment is very poor.,none,positive,none,none,negative,teaching excellent lab equipment poor,False,True,False,False,True
Good study material but the grading is unfair.,none,none,negative,positive,none,good study material grading unfair,False,False,True,True,False
The professor is brilliant but the syllabus is outdated.,negative,positive,none,none,none,professor brilliant syllabus outdated,True,True,False,False,True
Exams are fair and facilities are great.,none,none,positive,none,positive,exam fair facility great,False,False,True,False,False
Course is well designed and faculty is supportive.,positive,positive,none,none,none,course well designed faculty supportive,True,True,False,False,False
Poor infrastructure and ineffective teaching quality.,none,negative,none,none,negative,poor infrastructure ineffective teaching quality,False,True,False,False,True
Assignments are helpful but internet is too slow on campus.,none,none,positive,none,negative,assignment helpful internet slow campus,False,False,True,False,True
Library resources are good but syllabus needs update.,negative,none,none,positive,none,library resource good syllabus need update,True,False,False,True,True
The teacher is good but exams are very difficult and unfair.,none,positive,negative,none,none,teacher good exam difficult unfair,False,True,True,False,False
"Excellent course content, good faculty, but poor labs.",positive,positive,none,none,negative,excellent course content good faculty poor lab,True,True,False,False,True
Grading is strict and study material is insufficient.,none,none,negative,negative,none,grading strict study material insufficient,False,False,True,True,False
"Overall the course is decent, nothing extraordinary.",neutral,neutral,none,none,none,overall course decent nothing extraordinary,True,False,False,False,False
Infrastructure is okay but could be improved.,none,none,none,none,neutral,infrastructure okay could improved,False,False,False,False,True
"Assignments are okay, not too hard not too easy.",none,none,neutral,none,none,assignment okay hard easy,False,False,True,False,False
The syllabus is good but teaching needs improvement.,positive,negative,none,none,none,syllabus good teaching need improvement,True,True,False,False,True
"Resources are average, labs need better equipment.",none,none,none,neutral,negative,resource average lab need better equipment,False,False,False,True,True
Faculty is great and the course content is also excellent.,positive,positive,none,none,none,faculty great course content also excellent,True,True,False,False,False
Lab facilities are good but the syllabus is very outdated.,negative,none,none,none,positive,lab facility good syllabus outdated,True,False,False,False,True
Good professors but too many assignments with short deadlines.,none,positive,negative,none,none,good professor many assignment short deadline,False,True,True,False,False
